PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT),NOx(GT)
0.7066017438568678,0.25197984161267095,0.8033689897471292,0.5159486329743165,0.4357818055676004,0.5799518250880118,0.6359663865546219,0.5389771370856671,0.8732624675858935,0.8666318503172673,0.9927148576120342,0.9561113732892874,166.0
0.6759143924810327,0.22462203023758098,0.7939485579191234,0.47835542667771336,0.4765414968346197,0.541041319251436,0.5911764705882353,0.4305389771370856,0.8720359755505332,0.862540264533231,0.9925553055641859,0.9532798489853704,103.0
0.7256256369607066,0.20734341252699784,0.7924343932771692,0.47193454846727423,0.46483392593877376,0.5818047063183249,0.5897478991596639,0.46790928289413275,0.8663123457272888,0.8843910544309443,0.9926776983416751,0.9542236904200094,131.0
0.7136224663118559,0.20158387329013677,0.7933101734282133,0.4756628003314002,0.4481831584424595,0.5966277561608301,0.5995798319327731,0.5153796712882196,0.8626328686464899,0.9053712916888416,0.992858053773069,0.9542236904200094,172.0
0.666855395764919,0.18070554355651547,0.7830327882067631,0.42895608947804476,0.48738184025669934,0.5855104687789512,0.5680672268907563,0.4811312092553484,0.8632461151515312,0.9038913605033619,0.9928683474392883,0.9513921661160925,131.0
0.6327709206205412,0.17134629229661627,0.7762943285206779,0.39364125932062966,0.5329980053768104,0.5484528441726885,0.5354621848739496,0.42209163529519783,0.8633483232272834,0.9024984796005442,0.9928484564887584,0.9495044832468145,89.0
0.627335522590873,0.16630669546436286,0.7720605872535923,0.36847555923777964,0.5764461018125054,0.5132481007967389,0.5152100840336135,0.34248462032871174,0.8639615677828683,0.8941412041462704,0.9927275070757821,0.9495044832468145,62.0
0.6052542180953459,0.16630669546436286,0.7709317462303826,0.3612261806130903,0.5734975284016998,0.5113952195664258,0.5152100840336135,0.34138279313194375,0.8613041685353815,0.9053712916888416,0.9927765921160855,0.9485606418121755,62.0
0.5861170875325558,0.16126709863210942,0.7671884563623301,0.3349212924606462,0.6171190703321482,0.48174911988141556,0.4961344537815126,0.30098246258378475,0.8612019614343593,0.9042395749175264,0.9927497924108981,0.9480887210948561,45.0
0.5479560638659269,0.15766738660907126,0.7647513806846963,0.3151408450704225,0.6608273350099731,0.0,0.4822689075630252,0.25755210724451383,0.8595666390454625,0.9060677338006909,0.9926847106057792,0.9466729589428976,-200.0
0.548522251160684,0.1540676745860331,0.7632232232416319,0.301056338028169,0.6998525713294598,0.433574207893274,0.46949579831932775,0.23698466623817832,0.858851184464669,0.9070253334022809,0.9926591821369012,0.0,21.0
0.5734344921299965,0.1497480201583873,0.7626158512486431,0.29494614747307374,0.7347151157748678,0.42245692051139516,0.4645378151260504,0.22835368653016253,0.8626328676717598,0.8920518877733653,0.9926100555727541,0.9471448796602171,16.0
0.5669799569697656,0.15550755939524838,0.7643991782963065,0.31203396851698423,0.6723614604110658,0.4595145451176579,0.47773109243697476,0.24662565420989807,0.8603842997525478,0.8988421717968547,0.9926038027384577,0.9471448796602171,34.0
0.6087645793228399,0.16486681065514758,0.7706168210033412,0.3591549295774648,0.5861590495186888,0.5225125069483045,0.5173109243697479,0.3414746120650078,0.859362222893962,0.9039784107860203,0.9926356528440007,0.949032562529495,98.0
0.6944853357490657,0.1900647948164147,0.7887033006273216,0.45557166528583265,0.46344636198074757,0.5780989438576987,0.5771428571428572,0.47800936553117246,0.8616107917879041,0.8964046343680232,0.992630996846898,0.9532798489853704,174.0
0.7025251953346167,0.20662347012239018,0.7944925680523448,0.4806338028169014,0.4436735755788743,0.5577172503242542,0.5992436974789916,0.45092278027729316,0.8605887149293182,0.9074606047408657,0.9927710159934041,0.9542236904200094,129.0
0.6491903521684973,0.1994240460763139,0.7823410455415283,0.4255385252692626,0.49189142312028444,0.5521586066333147,0.5531932773109244,0.38922045725828663,0.8618152069646744,0.8996256675122469,0.9927021457032612,0.951864086833412,112.0
0.6245045861170875,0.17494600431965443,0.7771685611294009,0.3985086992543496,0.5298759864712514,0.541041319251436,0.5249579831932774,0.3197135249288403,0.860588713954588,0.8981457330058864,0.9926031386297429,0.950920245398773,95.0
0.6504359642169629,0.1879049676025918,0.7780987721895885,0.40358326429163216,0.5207700979967046,0.5465999629423753,0.538235294117647,0.31732623266917637,0.8566026145959964,0.9289631735826525,0.9928992999418321,0.9513921661160925,104.0
0.6728569810893443,0.18934485241180704,0.7858829644421605,0.44262634631317316,0.4725522504552944,0.5780989438576987,0.583781512605042,0.36690845652373516,0.8515944378914525,0.962566385927704,0.9931179324533042,0.9528079282680509,146.0
0.7115841920507303,0.26205903527717783,0.8020695495539073,0.5109776304888152,0.4104587633336224,0.6077450435427089,0.6488235294117647,0.45413644293453304,0.8503679463434594,0.9790197627420993,0.9932876416462914,0.9575271354412458,207.0
0.6756879175631298,0.21238300935925125,0.7897939157006304,0.4604391052195526,0.4518255138322782,0.6133036872336483,0.6019327731092436,0.42484620328711775,0.857318069176789,0.9441977966266016,0.9932053080637332,0.9542236904200094,193.0
0.7170195900803985,0.25197984161267095,0.8006005883474576,0.505281690140845,0.41904431532390946,0.6207152121549009,0.6449579831932774,0.4789275548618125,0.8576246924293104,0.9319230392744892,0.9930152436637153,0.9575271354412458,243.0
0.8065904201109726,0.3650107991360691,0.837180483839256,0.6290389395194698,0.34637065302228776,0.650361311839911,0.7673949579831932,0.5907630153337617,0.8599754684242771,0.9199094626582948,0.9929561153787843,0.9664936290703161,281.0
0.8948024006341297,0.47588192944564434,0.8620555650000779,0.6991507870753935,0.31298239528228256,0.6892718176764869,0.8512605042016806,0.6992929942154071,0.8571136540000174,0.9377557303381542,0.9930816030970597,0.9764039641340254,383.0
0.8334276978824594,0.4326853851691865,0.8493838737566539,0.6644573322286661,0.32703148035729773,0.6763016490642949,0.803781512605042,0.6808373886695436,0.8571136530252893,0.9323583205757204,0.992989593436022,0.9726285983954696,351.0
0.6851998641150492,0.28581713462922964,0.8067724921926531,0.5286868268434134,0.4014395976064522,0.622568093385214,0.6408403361344538,0.5453126434670829,0.8549672922070958,0.919213023867323,0.992636582778579,0.9622463426144408,240.0
0.5274600837957196,0.1879049676025918,0.7761656402169229,0.39291632145816074,0.5290954817448618,0.5280711506392439,0.5151260504201681,0.37498852263336696,0.8510834009242524,0.9172107610979572,0.992382221336648,0.950920245398773,94.0
