PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
0.523888276368982,0.1261564339781329,0.1842940729898396,0.36051443425913254,0.10862186014935506,0.3110240389706661,0.3286941071957359,0.5130395683453237,0.4546540675572934,0.30415263272928056,0.5096277463846658,0.2871173362750955,1
0.4740904079382581,0.09419680403700588,0.14521426524630382,0.3108496374333014,0.0658520027155465,0.36079635708990787,0.26650873556411014,0.45312500000000006,0.326382100575649,0.2974186271231482,0.49454429112731574,0.2709514957441077,0
0.5547592796765896,0.07401177460050462,0.13893289044523405,0.30236694486249827,0.08486082824168364,0.3465000529492746,0.33165531536867043,0.4512140287769784,0.370587596394048,0.26599326584403304,0.575096289583715,0.2833523527040595,1
0.5352811466372657,0.0672834314550042,0.14256598503721024,0.30729237925844843,0.11269517990495587,0.32616753150481836,0.3553449807521469,0.46436600719424465,0.4267405235147171,0.24579124367398622,0.6524390331240705,0.3016259955819325,1
0.45938993017273066,0.04289318755256518,0.09993118379948848,0.24558763168696127,0.08486082824168364,0.3740336757386423,0.33757773171453953,0.4222122302158274,0.38622787009883786,0.2491582491528885,0.6469833303725281,0.3026689515879767,0
0.4040793825799339,0.031959629941127,0.07197729444200632,0.1989328225475441,0.05634758995247793,0.4297363126125172,0.2783535682558484,0.3785971223021583,0.31638970348647766,0.24971941851662252,0.6418485347491688,0.3006535971089116,0
0.3952590959206175,0.02607232968881413,0.05441400246406228,0.1656861403748803,0.03801765105227427,0.4827914857566451,0.22209061297009178,0.3515062949640288,0.2222222222222222,0.25308641329211296,0.61103979773583,0.288398982086024,0
0.3594266813671445,0.02607232968881413,0.049731107776697515,0.15610890682719933,0.03801765105227427,0.4791909350841893,0.21912940479715723,0.3515062949640288,0.22091886608015637,0.23849606870414236,0.6524390331240705,0.2933722866891593,0
0.3283719220874679,0.02018502943650126,0.0342024089821344,0.12135723081132851,0.026476578411405296,0.532457905326697,0.1717500740302043,0.3259892086330935,0.17312914087107634,0.2379349046921255,0.6482670078543753,0.290656936017199,0
0.2664461595001838,0.0159798149705635,0.024092421385255556,0.0952250649883705,0.16892022173633672,0.5858307741183946,0.3334758602179905,0.3074415467625899,0.1217551862713153,0.2289562323345588,0.6550064370568928,0.2840628364916242,0
