CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx(GT)
0.211864406779661,0.523888276368982,0.1261564339781329,0.18449799744952314,0.3617369930356411,0.3110240389706661,0.3286941071957359,0.5130395683453237,0.4546540675572934,0.3014084458819443,0.5096277463846658,0.2871173362750955,166.0
0.16101694915254236,0.4740904079382581,0.09419680403700588,0.14542795956104754,0.31216714461286355,0.36079635708990787,0.26650873556411014,0.45312500000000006,0.326382100575649,0.2946478836335318,0.49454429112731574,0.2709514957441077,103.0
0.17796610169491525,0.5547592796765896,0.07401177460050462,0.13914815508810702,0.30370066912467564,0.3465000529492746,0.33165531536867043,0.4512140287769784,0.370587596394048,0.26309859135007413,0.575096289583715,0.2833523527040595,131.0
0.17796610169491525,0.5352811466372657,0.0672834314550042,0.14278034141544135,0.30861668715007506,0.32616753150481836,0.3553449807521469,0.46436600719424465,0.4267405235147171,0.24281689923208155,0.6524390331240705,0.3016259955819325,172.0
0.1271186440677966,0.45938993017273066,0.04289318755256518,0.10015619877234083,0.24702990577632114,0.3740336757386423,0.33757773171453953,0.4222122302158274,0.38622787009883786,0.24619718304267654,0.6469833303725281,0.3026689515879767,131.0
0.09322033898305083,0.4040793825799339,0.031959629941127,0.0722092978179026,0.2004642905912877,0.4297363126125172,0.2783535682558484,0.3785971223021583,0.31638970348647766,0.2467605654687278,0.6418485347491688,0.3006535971089116,89.0
0.09322033898305083,0.3952590959206175,0.02607232968881413,0.05465039661941507,0.1672811689198416,0.4827914857566451,0.22209061297009178,0.3515062949640288,0.2222222222222222,0.25014083853370034,0.61103979773583,0.288398982086024,62.0
0.07627118644067796,0.3594266813671445,0.02607232968881413,0.049968672644113636,0.15772224498156492,0.4791909350841893,0.21912940479715723,0.3515062949640288,0.22091886608015637,0.23549295455764027,0.6524390331240705,0.2933722866891593,62.0
0.06779661016949153,0.3283719220874679,0.02018502943650126,0.034443855985754765,0.12303700669124676,0.532457905326697,0.1717500740302043,0.3259892086330935,0.17312914087107634,0.23492957750441149,0.6482670078543753,0.290656936017199,45.0
0.17805497266222928,0.2673649393605292,0.011774600504625735,0.0179985580322411,0.07838317629386862,0.6334851212538388,0.09475866153390583,0.2903552158273382,0.09742587161942,0.22197183006086021,0.6585365868588088,0.28147628769799465,21.0
0.05084745762711864,0.30779125321572953,0.00672834314550042,0.015479560261042325,0.07032636897446401,0.676056338028169,0.0769914124962985,0.2837230215827338,0.0872162485065711,0.24281689385925906,0.6033376226642188,0.27649877589199146,16.0
0.05084745762711864,0.2973171628077913,0.01345668629100084,0.022875681435936192,0.09285811825754473,0.5999152811606481,0.13621557595498962,0.30137140287769787,0.10883023786249592,0.230422534214559,0.6283697130709767,0.2758652376612704,34.0
